PowerHub Data Log,"Created 12/13/2019, 19:52:44"
,Hint: Trends in power consumption can be seen easier if you use your favorite spreadsheet program's graphing tools.
Date / Time (UTC -8),Voltage,Current,Power Factor,Wattage,Notification Triggered?
12/13/2019 03:49:11,230,2.3,1,529.0,False
12/13/2019 19:49:12,230,2.5,1,575.0,False
12/13/2019 19:49:13,230,2.5,1,575.0,False
12/13/2019 19:49:14,230,2.3,1,529.0,False
12/13/2019 19:49:15,230,2.0,1,460.0,False
12/13/2019 19:49:16,230,1.9,1,437.0,False
12/13/2019 19:49:17,230,1.8,1,414.0,False
12/13/2019 19:49:18,230,1.0,1,230.0,False
12/13/2019 19:49:19,230,5,1,1150.0,False
12/13/2019 19:52:16,230,2.3,1,529.0,False
12/13/2019 19:52:18,230,2.5,1,575.0,False
12/13/2019 19:52:19,230,2.5,1,575.0,False
12/13/2019 19:52:20,230,2.3,1,529.0,False
12/13/2019 19:52:21,230,2.0,1,460.0,False
12/13/2019 19:52:22,230,1.9,1,437.0,False
12/13/2019 19:52:23,230,1.8,1,414.0,False
12/13/2019 19:52:24,230,1.0,1,230.0,False
12/13/2019 19:52:25,230,5,1,1150.0,False
12/13/2019 19:52:26,230,5,1,1150.0,False
12/13/2019 19:52:27,230,5,1,1150.0,False
12/13/2019 19:52:28,230,5,1,1150.0,False
12/13/2019 19:52:29,230,10,1,2300.0,False
12/13/2019 19:52:30,230,10,1,2300.0,False
12/13/2019 19:52:31,230,9.8,1,2254.0,False
12/13/2019 19:52:32,230,9,1,2070.0,False
12/13/2019 19:52:33,230,9,1,2070.0,False
12/13/2019 19:52:34,230,9,1,2070.0,False
12/13/2019 19:52:35,230,9,1,2070.0,False
12/13/2019 19:52:36,230,8.9,1,2047.0,False
12/13/2019 19:52:37,230,9,1,2070.0,False
12/13/2019 19:52:38,230,9,1,2070.0,False
12/13/2019 19:52:39,230,9,1,2070.0,False
12/13/2019 19:52:40,230,9,1,2070.0,False
12/13/2019 19:52:41,230,2.3,1,529.0,False
12/13/2019 19:52:42,230,2.5,1,575.0,False
12/13/2019 19:52:43,230,2.5,1,575.0,False
12/13/2019 19:52:44,230,2.3,1,529.0,True
